Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE_A_Reviewer_1	SCORE_B_Reviewer_1	SCORE_C_Reviewer_1	SCORE_A_Reviewer_2	SCORE_B_Reviewer_2	SCORE_C_Reviewer_2	SCORE_A_Reviewer_3	SCORE_B_Reviewer_3	SCORE_C_Reviewer_3	Reviewer_1_Comment	Reviewer_2_Comment	Reviewer_3_Comment	Consolidation_Comment	File_Type
libgdx	322	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/03f35e4f6bfe68d330fba7b965ca244c75031457"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/55a7077a5363fad3c0cd623b4a619dcef8d9ec37"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64a23e73143780a7a799d87eba6ab1074d2d75b3"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	3	3	3	2	3	3				3	2	2	Similar to row 23. (row 18: libgdx 309 now [Pascal])		"Also similar to ligdx-319. A is wrong because the cast may fail. B and C are equivalent and may be the intended behavior, but not 100% sure. I could also give a low-confidence ""1"" to both them (and similar for the two similar errors above)."		consolidation
libgdx	355	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/90bee9d53ae5ed744ac177ec0f0c135ad7e560b3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b8bf7f3342730d943755ecc7ff1467ea070545f8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b9273f00e2c59d70d612426918c3a119bda45427"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	3	3	2	3	3	2				1	2	3	clearly should be initialized lazily, and the code does so.  we need casts.  and getColumns does look risky in the case where the lazy init hasn't happened yet.  Patch C looks good, except that it does an unnecessary null check?		columnSizes being null doesn't convey any special state, as shown by line 70, so initializing it to an empty collection makes sense (as done in A). B is clone, but stupidly duplicates the line. C seems overly complex		consolidation
libgdx	288	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f300a217ccab306de218325bfbd4eddb37472b30"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cd523811c30ed778eb5fb2335c0b1889c61d0671"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b6b15cc152cc5bb21bbcd023d9313f16830f0626"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	3	2	3				3	2	3	2	3	1		I think this warning is a false positive, and that the @Nullable annotation on the parameter is probably incorrect. My reasoning is based on reading the source code for the InputListener class (https://github.com/libgdx/libgdx/blob/master/gdx/src/com/badlogic/gdx/scenes/scene2d/InputListener.java), whose #handle method explicitly does a null check (via instanceof) before calling keyDown() or any of the other registerable listeners. Patch B correctly suppresses the warning, but the better fix would be to remove the @Nullable annotation. Patches A and C are totally wrong.	B contradicts the nullable annotation. Not fully sure whether A or C is better, but C seems most aligned with the intent.	MP: I think Martin is right here. My general assumption was that the annotations must be correct, which isn't true, actually.	consolidation
litiengine	4	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d17790dc2832c50601418cb80470a59f4da8af31"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/09bf6b115680b797f9e0ba6519c296c3e8ec6dc3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3192bbb2a2fa8890f9f5632927793cb1ea54da7a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	1	1	1				2	1	2	1	2	1		Game.info() can legitimately be nullable (see, e.g., line 592 in https://github.com/Pascal-Joos/litiengine/blob/3192bbb2a2fa8890f9f5632927793cb1ea54da7a/src/de/gurkenlabs/litiengine/Game.java), so all of the patches are on the right track. I prefer patch B because it handles the failure case more gracefully by providing a default title.	A and C avoid setting a title if there is none. B just makes up a title, which could be fine, but I'm not sure about the string value.	"MP: Whether setting some title or just having no title is better ultimately is a matter of taste, I guess. How about setting all three patches to ""1"" (because they all could be considered correct)?  MK: I'm ok with that decision."	consolidation
litiengine	130	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ad58a0453dbb5193f7225d6c0871e627330488b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d75a2a7b8baeeb1aed6776ffe24c353b218e5d2b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0538dc4e0d98c0657dda4cd50ebfb5d45481492d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	3	3	1				2	3	1	3	3	1		Patch C correctly uses null-safe equality; Patch A is unnecessarily verbose; Patch B also changes the semantics by adding the check that the sprite's image is non-empty.	A makes changes that go beyond the reported error and is pretty complex. B calls isEmpty(), which wasn't called before. C is elegant, concise, and matches my understanding of the intended behavior.	MK: I was between 2 and 3 on patch A anyway, and I'm happy to cede to Michael's judgement here.	consolidation
eureka	13	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/886f10dd0015bbbbbec36f65f18c2b8f8616ae3d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/769f98360d473bc6d5371ae273671b218fac2407"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/49a5aabcf851c039e82620b23718567900b45d28"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	1	3	2				1	2	2	2	3	1		Patch A adds a logging statement, mirroring the logic for UNKNOWN statuses. The others also mirror that logic but either omit the logging (B) or use the same error message as UNKNOWN (C), which is wrong because that error message specifically mentions that the status is UNKNOWN (which isn't true if it's null instead).	C matches my understanding of intended behavor. A is similar, but unnecessarily adds duplicate code. B skips the logging, which likely isn't intended.	MK: I don't think patch C should be higher than a 2, because of the incorrect logging message. I'd be happy to agree on 1 3 2, though. MP: Agreed. I had missed the incorrect logging message.	consolidation
litiengine	85	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/84af5a9d04b929b7946fa07bc4676d59560e2620"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5f0a1f80c00c497af8dda24d66a7f685fef46b96"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/1b9f861f0df2296fc1be95e2dc4521d2790130c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	2	3	2				2	3	2	3	1	3		Both patches A and C correctly make getSpritesheet @Nullable (the null check on line 172 makes it clear that it should be); Patch B is a 3 because it doesn't. Both patch A and C are scored 2, though, because both include extraneous changes that aren't related to the warning. Patch A is _worse_ (the extraneous changes trigger more warnings), but it's on the right track.	A moves the problem to the callers, without editing them; it also makes another, unrelated edit. C is similar, but edits at least one call site; however, it also applies another, unrelated edit. B seems the best, but I'm not 100% if raising a runtime error is intended.	"MP: I see the check in line 172, but it doesn't imply that spritesheet may still be null after trying to assign it in line 177. At the same time, the wording of the comment (""try to find an updated one"") suggests that a null value may still be possible, so perhaps annotating the method as nullable is correct."	consolidation
libgdx	319	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/fb1feea938184c7212eacea02dc7bc0c7b48ad18"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3a948b1ff84c2d7ad95f025a2179444eb68c940e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ef0c16896c96bd934be624a587c062c3b8c90740"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	3	3				3	3	2	3	2	3		This is a false positive: actors in cells are always non-null. addActor() is defined in Group.java (one level up in the package hierarchy) and clearly only takes non-null arguments; the only place that addActor is called is guarded by a null check. I don't think there's a way for a null actor to end up in a cell, but to be honest the design of this class leaves something to be desired. Patches A and B are therefore wrong. Patch C is on the right track, but the ridiculously verbose suppression scheme isn't right: instead, the actor should be moved into a local variable with the right type, and suppressed just once.	Table.add() shows that the actor maybe null, so C seems wrong. A just skips behavior, which also seems wrong. B could be correct, but it's hard to fully understand the intent here.	MK: Maybe these should all be 3s? But, the problem here is that this class is just an utter disaster from a design perspective, so I'm not sure any of us know what the spec is supposed to be.  MP: Let's do all 3s.	consolidation
glide	10	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8394ac36eb99e73026025a4c150892c77a75a731"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8c49105ab8302c7a0e24fa79b9f8f47517ce10ef"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/1daee8b3e2120e0e01d98974d120dfe6957e44df"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	3	1	1				2	1	1	3	1	1		loadData can definitely be null. I don't see any other reasonable way to handle it than the way that patches B and C do. Patch A contains extraneous changes.	B and C mimick what's done in cancel() just above, which looks good. A adds functionality, but I doubt this it's intended.	MK: I prefer 2 rather than 3 for patch A still, because patch A can be fixed by only deleting unnecessary changes. However, I'm willing to agree on 3 if MP feels strongly. MP: As A includes not just one, but multiple unrelated edits, I'd simply reject it as a code reviewer.	consolidation
libgdx	175	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3e3e941290d83626becc01e62e194f8fab390956"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/03869087fe6c83b0f4b1f47bfa3e945c0876aa69"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ae58755254189dd621b5d67991be31627ef566b7"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	2	2				3	2	2	3	3	1		"IMO calling node() first is the right thing to do, but even patch C (which does this) contains an extraneous copy of a comment _and_ doesn't update the comment to indicate that this method will automatically create a node if there isn't one already. Patch B is also at least plausibly on the right track (throwing a new GdxException(""call node first"") is in line with how the need to call begin() is handled elsewhere), but IMO is a worse design. However, it's more consistent with the existing code in the class, and I could imagine an SDE going with either patch B or patch C's strategy. Patch A is clearly wrong - its error message indicates the wrong method, so it's strictly worse than patch B. Patch B also unnecessarily includes a check for model being null, which prevents it from scoring a 1."	A suggest calling begin(), which doesn't make sense, as begin() sets node to null. B also doesn't make sense, as it replaces a call of node() with an error saying you should call node(). C looks like the intended behavior: node() creates a new node, which can then be used.	MK: I don't think patch C should get a 1, because it definitely needs edits before being merged. I agree that I'd prefer C's strategy over B's, but what convinced me to give B a 2 is that it seems more consistent with the rest of the class. I can be convinced to change my score to a 3 for patch B, though. MP: Fully agree about C getting only a 2. You're right that B can be seen as consistent with the other locations that raise similar exceptions, so I'm okay with 2 for B.	consolidation
spring-boot	20	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/a19584dcc0dae4f43dce2c07889bd8df3e27cf2a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/803292882474be16f5c6e71ad3bb413400eb0523"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/eb17d89af82f8464621376d32e1ad3ffb8f40f8d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	1	1	1				3	1	1	1	2	2		Beans! throwing an exception is right, this state shouldn't occur, but the control flow is nonobvious (through the framework) so it's unsurprising that the checker has a false positive.	All three patches raise an exception if the value is null, which seems okay. A does so in the most elegant and concise way.	MK: I can agree that Patch A is ok. However, I still actually prefer patches B and C, because they make it clear that it's abnormal behavior. I'm happy to agree on all 1s, though.	consolidation
libgdx	181	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/85d35264c5dda661708496f6c0d4fdc7130123d0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6220a546868597db37cd262db86006c3cab7f3a9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/96d6ea20d76051785e13087de1b533dcdabcda29"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	3	1	3				2	3	1	3	1	3		There's no reason to null out `data`, and doing so is an antipattern.	A and C simply remove the assignment, which is likely unintended. The 'data'  field should be annoated as nullable (as there's a null check at line 64). B adds this annotation and then tries to handle its effects.	MK: my problem here is with the design of the class, so I suppose I should revise my ratings. I still think that nulling out fields for linearity is an antipattern (use a linearity type system instead!), but the remit of these tools is to annotate the code without fundamentally changing the design. With that in mind, patch B probably is the best one, since it handles the impact of making the field nullable without introducing new errors.	consolidation
libgdx	100	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/01b459fe4f362da39bcd5581c7f605cb7d6b8f63"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4974c00d627a7dddfd845980967f82794b433c8a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/17a593480cc47237f5d1edf00e3bc3a6c4cdae69"", ""Github"")"	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	1	3	3				1	3	3	3	1	2		This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.	MP: Why do you think making it nullable is incorrect? MK: I'm looking at e.g., https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java#L117, which indicates that `indices` is a required field of this class when its been serialized. It's also dereferenced without null checks, e.g., at https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/Model.java#L236. MP: Okay, I see. Let's go with 1-3-3 then.	consolidation
libgdx	42	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b4b158d3ae0c4c800e5e2cfdf1c88b3992608964"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/174d8beda03016600bbce6d0a6ccd21d3a1c41b7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a6a5b652773b3ef01a61c8555d9e2ea2cc78ef68"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	1				2	1	1	2	1	3		"The issue concerns what to do about an uninitialized ""name"" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them."	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.	MP: I agree that C may also be considered correct.	consolidation
zuul	19	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2				1	3	1	1	3	2		"This is definitely a false positive, since the ""both are null"" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case."	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.	MK: MP's point about C's verbosity is well-taken.	consolidation
glide	36	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9921b0ce48b795ab64491cf884726f4a3b492449"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/5978f48e072df1247f2b83c183c50ce34b02c8fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/86bf4f37c8db52bee4f918e14c447142ce0c6db5"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	3				2	3	3	3	3	2		The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions	MK: I propose we give all 3s here.	consolidation
wala-util	31	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7c1011d5a03aa8118bdd7ca65a61f456c0936bf0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/9b487f8e457f74cd60ec62b1b685923752afb711"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/34a17f09ed3008559d945a82ab2c294fa3ff9339"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	1	1	3				1	1	3	2	2	1		compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.	MK: I'm unwilling to give C better than a 2, because casting i2 but not i1 is obviously wrong. MP: Taking a second look, I agree.	consolidation
gson	19	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/7dd8c2e0b52294a5b1f86d1a4c4c398c4ddd6a02"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/2447ef6c9a07a4207f35126dd21e88a958e75bbd"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1				1	2	1	1	3	1		All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.	MK: I'm willing to go to 3 on B, but I think it should be a two because it's a superset of the correct patch. MP: Let's give B a 3, as there are many unrelated changes. This also is consistent with glide-10	consolidation
gson	7	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/a2f49f11a2c1891e517761aa8ade073cfe5bf77f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/1271d176c21a80ed76365599b61d2867a2fcb3b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/gson/commit/cc10ffa33a45617fece612a4e673f90334e7d441"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	3	3				1	3	3	2	2	2		This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.	MK: I'm willing to go to 2 on patch A, but not on the other two.	consolidation
litiengine	100	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/bd6814bf68ae279540f1a86abe3d2754997f5f7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d92b8cf5d1c07724d698e52aa02328ed0dce963a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ca0d91abcef98672c95844358bb903b7259d6e5e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1				1	2	1	2	3	1		There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.	MK: Agree with MP	consolidation
glide	77	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/f5e7e9d900bdd8ff3ab67266156fe534f5949159"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/ade97e0d556b852193507f7bc1c3e56c371c4bd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d67467cf56994f1fe94ff0293e686b643fb7278b"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	3	1	3				3	1	3	2	1	2		This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.	MP: Agreed that this is a false positive, so adding code to handle it unncessary	consolidation
glide	67	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/258bc2a772371fd6c5d742be9242d3226997b8ee"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/9458c99a56b10ec833c162a16c840515644201c0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/591ca3ac235e7000df1a33fa529a55d5224dfba5"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	3	3	1				2	3	1	2	2	1		This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.	Similar to glide-77.	MP: Agreed. Similar to the above	consolidation
spring-boot	17	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/398de640ee79389a207e0f5fd6a7021bc392cc43"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/000051e986e57cb7cc04c0f34b0eb2f414d70266"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2092a7b7d5644b7f2fea6531515cb8b190a74b21"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	3	2	2				3	2	2	2	1	2		The logging system shouldn't ever be null; despite the @Nullable annotation that NAA has placed on LoggingSystem.get, it actually asserts that its result is nonnull. Certainly this shouldn't be handled at a call-site, so suppressions a la patches B and C are the better option. The better fix, though, would be to make LoggingSystem.get's return type nonnull.	Naming suggest that casting to non-null is okay, as done by B. A and C are also correct, but less concise.	MP: Agreed	consolidation
